State,Keyword,Status,Max. CPC,Clicks,Impressions,CTR,Avg. CPC,Cost,Avg. position
enabled,natural food restaurants,eligible,$1.50 ,0,13,0.00%,$0.00 ,$0.00 ,2.7
enabled,great vegetarian food,eligible,$1.50 ,0,4,0.00%,$0.00 ,$0.00 ,1.8
enabled,restaurants downtown philadelphia,low quality score,$1.50 ,0,72,0.00%,$0.00 ,$0.00 ,2.8
enabled,gluten free vegan,eligible,$1.50 ,0,11,0.00%,$0.00 ,$0.00 ,1.7
enabled,vegan caterers,eligible,$1.50 ,0,1,0.00%,$0.00 ,$0.00 ,3
enabled,truly a vegan restaurant,eligible,$1.50 ,0,0,0.00%,$0.00 ,$0.00 ,0
enabled,blossom vegan restaurant,eligible,$1.50 ,0,0,0.00%,$0.00 ,$0.00 ,0
enabled,organic vegetarian restaurant,eligible,$1.50 ,0,0,0.00%,$0.00 ,$0.00 ,0
enabled,vegan restaraunts,eligible,$1.50 ,0,0,0.00%,$0.00 ,$0.00 ,0
enabled,organic vegan restaurant,eligible,$1.50 ,0,1,0.00%,$0.00 ,$0.00 ,1
enabled,gourmet vegan restaurant,eligible,$1.50 ,0,0,0.00%,$0.00 ,$0.00 ,0
enabled,find vegetarian restaurants,eligible,$1.50 ,0,0,0.00%,$0.00 ,$0.00 ,0
enabled,vegan restraunts,eligible,$1.50 ,0,0,0.00%,$0.00 ,$0.00 ,0
enabled,vegan restaurant finder,eligible,$1.50 ,0,1,0.00%,$0.00 ,$0.00 ,1
enabled,good vegetarian restaurants,eligible,$1.50 ,0,2,0.00%,$0.00 ,$0.00 ,1
enabled,romantic vegetarian restaurants,eligible,$1.50 ,0,0,0.00%,$0.00 ,$0.00 ,0
enabled,local vegetarian restaurants,eligible,$1.50 ,0,1,0.00%,$0.00 ,$0.00 ,3
enabled,organic vegetarian restaurants,eligible,$1.50 ,0,0,0.00%,$0.00 ,$0.00 ,0
enabled,vegan restuarants,eligible,$1.50 ,0,0,0.00%,$0.00 ,$0.00 ,0
enabled,vegetarian italian restaurant,eligible,$1.50 ,0,0,0.00%,$0.00 ,$0.00 ,0
enabled,vegan food philadelphia,eligible,$1.50 ,0,44,0.00%,$0.00 ,$0.00 ,1.9
enabled,vegan restaurants in philly,eligible,$1.50 ,1,7,14.29%,$1.32 ,$1.32 ,1.4
enabled,vegeterian vegan,eligible,$1.50 ,0,0,0.00%,$0.00 ,$0.00 ,0
enabled,vegetarian restaurants downtown,eligible,$1.50 ,0,0,0.00%,$0.00 ,$0.00 ,0
